Point_ID,UTM_E,UTM_N,DATUM,ELEV,Transect_ID,Point_no,YR_Treated,Treatment_Description,FACTS_ID,Sale_Name
DES_K10,612341.0392,4914660.605,NAD83 Z10,,DES_K,10,999,,,
DES_M01,608589.3268,4901729.836,NAD83 Z10,,DES_M,1,999,,,
DES_M02,608858.4851,4901606.594,NAD83 Z10,,DES_M,2,999,,,
DES_M03,609143.4994,4901497.974,NAD83 Z10,,DES_M,3,999,,,
DES_M04,609421.3044,4901378.706,NAD83 Z10,,DES_M,4,999,,,
DES_M05,609700.8434,4901261.07,NAD83 Z10,,DES_M,5,999,,,
DES_M06,609972.0982,4901141.785,NAD83 Z10,,DES_M,6,999,,,
DES_M07,610258.8119,4901031.179,NAD83 Z10,,DES_M,7,999,,,
DES_M08,610526.0737,4900914.429,NAD83 Z10,,DES_M,8,999,,,
DES_M09,610811.5621,4900790.821,NAD83 Z10,,DES_M,9,999,,,
DES_M10,611099.9553,4900703.995,NAD83 Z10,,DES_M,10,999,,,
DES_N01,608214.9539,4892820.766,NAD83 Z10,,DES_N,1,999,,,
DES_N02,608511.2595,4892865.393,NAD83 Z10,,DES_N,2,999,,,
DES_N03,608808.0161,4892913.776,NAD83 Z10,,DES_N,3,999,,,
DES_N04,609097.2657,4892958.136,NAD83 Z10,,DES_N,4,999,,,
DES_N05,609403.8998,4892993.069,NAD83 Z10,,DES_N,5,999,,,
DES_N06,609701.1682,4893039.428,NAD83 Z10,,DES_N,6,999,,,
DES_N07,609987.8619,4893083.219,NAD83 Z10,,DES_N,7,999,,,
DES_N08,610289.0164,4893120.895,NAD83 Z10,,DES_N,8,999,,,
DES_N09,610592.7105,4893160.237,NAD83 Z10,,DES_N,9,999,,,
DES_N10,610888.6405,4893212.189,NAD83 Z10,,DES_N,10,999,,,
DES_P01,614155.5068,4933733.357,NAD83 Z10,,DES_P,1,999,,,
DES_P02,613927.0453,4933524.516,NAD83 Z10,,DES_P,2,999,,,
DES_P03,613705.8173,4933329.032,NAD83 Z10,,DES_P,3,999,,,
DES_P04,613484.1126,4933134.268,NAD83 Z10,,DES_P,4,999,,,
DES_P05,613249.554,4932928.033,NAD83 Z10,,DES_P,5,999,,,
DES_P06,613013.7777,4932773.764,NAD83 Z10,,DES_P,6,999,,,
DES_P07,612793.7367,4932550.988,NAD83 Z10,,DES_P,7,999,,,
DES_P08,612574.1352,4932329.563,NAD83 Z10,,DES_P,8,999,,,
DES_P09,612365.2072,4932142.388,NAD83 Z10,,DES_P,9,999,,,
DES_P10,612089.2365,4931890.156,NAD83 Z10,,DES_P,10,999,,,
DES_R01,604210.4907,4929883.439,NAD83 Z10,,DES_R,1,999,,,
DES_R02,604246.0323,4929579.002,NAD83 Z10,,DES_R,2,999,,,
DES_R03,604270.6919,4929228.334,NAD83 Z10,,DES_R,3,999,,,
DES_R04,604208.9607,4928927.3,NAD83 Z10,,DES_R,4,999,,,
DES_R05,604207.5519,4928633.296,NAD83 Z10,,DES_R,5,999,,,
DES_R06,604193.2154,4928334.447,NAD83 Z10,,DES_R,6,999,,,
DES_R07,604173.42,4928033.736,NAD83 Z10,,DES_R,7,999,,,
DES_R08,604159.2102,4927736.789,NAD83 Z10,,DES_R,8,999,,,
DES_R09,604160.5154,4927432.58,NAD83 Z10,,DES_R,9,999,,,
DES_R10,604136.6622,4927132.777,NAD83 Z10,,DES_R,10,999,,,
DES_S01,605549.7573,4928623.087,NAD83 Z10,,DES_S,1,999,,,
DES_S02,605674.8432,4928337.644,NAD83 Z10,,DES_S,2,999,,,
DES_S03,605805.0818,4928066.503,NAD83 Z10,,DES_S,3,999,,,
DES_S04,605929.286,4927797.115,NAD83 Z10,,DES_S,4,999,,,
DES_S05,606053.3719,4927516.415,NAD83 Z10,,DES_S,5,999,,,
DES_S06,606180.0956,4927263.017,NAD83 Z10,,DES_S,6,999,,,
DES_S07,606299.388,4926983.546,NAD83 Z10,,DES_S,7,999,,,
DES_S08,606426.737,4926706.417,NAD83 Z10,,DES_S,8,999,,,
DES_S09,606566.2948,4926436.57,NAD83 Z10,,DES_S,9,999,,,
DES_S10,606672.0852,4926165.495,NAD83 Z10,,DES_S,10,999,,,
DES_U01,611598.7522,4918291.755,NAD83 Z10,,DES_U,1,999,,,
DES_U02,611458.0474,4918551.582,NAD83 Z10,,DES_U,2,999,,,
DES_U03,611323.3262,4918825.666,NAD83 Z10,,DES_U,3,999,,,
DES_U04,611186.4156,4919090.793,NAD83 Z10,,DES_U,4,999,,,
DES_U05,611047.3764,4919347.743,NAD83 Z10,,DES_U,5,999,,,
DES_U06,610927.3818,4919624.853,NAD83 Z10,,DES_U,6,999,,,
DES_U07,610826.5235,4919912.523,NAD83 Z10,,DES_U,7,999,,,
DES_U08,610672.8754,4920157.17,NAD83 Z10,,DES_U,8,999,,,
DES_U09,610512.077,4920430.193,NAD83 Z10,,DES_U,9,999,,,
DES_U10,610385.0665,4920700.42,NAD83 Z10,,DES_U,10,999,,,
DES_W01,615312.108,4909367.576,NAD83 Z10,,DES_W,1,999,,,
DES_W02,615286.4692,4909664.604,NAD83 Z10,,DES_W,2,999,,,
DES_W03,615244.3909,4909957.917,NAD83 Z10,,DES_W,3,999,,,
DES_W04,615211.067,4910268.723,NAD83 Z10,,DES_W,4,999,,,
DES_W05,615165.3067,4910558.766,NAD83 Z10,,DES_W,5,999,,,
DES_W06,615140.4881,4910860.447,NAD83 Z10,,DES_W,6,999,,,
DES_W07,615099.3307,4911155.763,NAD83 Z10,,DES_W,7,999,,,
DES_W08,615066.4452,4911449.534,NAD83 Z10,,DES_W,8,999,,,
DES_W09,615031.7126,4911745.518,NAD83 Z10,,DES_W,9,999,,,
DES_W10,614992.8029,4912056.151,NAD83 Z10,,DES_W,10,999,,,
DES_Y01,613796.2742,4891276.609,NAD83 Z10,,DES_Y,1,999,,,
DES_Y02,613494.2538,4891234.368,NAD83 Z10,,DES_Y,2,999,,,
DES_Y03,613205.9048,4891182.802,NAD83 Z10,,DES_Y,3,999,,,
DES_Y04,612908.8619,4891134.786,NAD83 Z10,,DES_Y,4,999,,,
DES_Y05,612604.1701,4891095.962,NAD83 Z10,,DES_Y,5,999,,,
DES_Y06,612313.7625,4891037.751,NAD83 Z10,,DES_Y,6,999,,,
DES_Y07,612019.6967,4890991.733,NAD83 Z10,,DES_Y,7,999,,,
DES_Y08,611725.949,4890936.731,NAD83 Z10,,DES_Y,8,999,,,
DES_Y09,611428.6331,4890890.004,NAD83 Z10,,DES_Y,9,999,,,
DES_Y10,611132.6472,4890852.52,NAD83 Z10,,DES_Y,10,999,,,
EMFWOR_BGCT1-01,726478.357,4691925.105,NAD83 Z10,1890,EMFWOR_BGCT1,1,2018,"CFLR prescription, Harvest first noted during visit 1 (5 Jun 2019), Commercial thin and pre-commercial thin noted in FACTS - completed date for BOTH 29 Nov 2018",L110000479,LILSTEW3 TSA UNIT 109
EMFWOR_BGCT1-02,726477.824,4692234.314,NAD83 Z10,1910,EMFWOR_BGCT1,2,2018,"CFLR prescription, Harvest first noted during visit 1 (5 Jun 2019), Commercial thin and pre-commercial thin noted in FACTS - completed date for BOTH 29 Nov 2018",L110000479,LILSTEW3 TSA UNIT 109
EMFWOR_BGCT1-03,726175.275,4692222.108,NAD83 Z10,1850,EMFWOR_BGCT1,3,999,,,
EMFWOR_BGCT1-04,726166.707,4692513.256,NAD83 Z10,1892,EMFWOR_BGCT1,4,999,,,
EMFWOR_BGCT1-05,726172.378,4692830.093,NAD83 Z10,1892,EMFWOR_BGCT1,5,999,,,
EMFWOR_BGCT1-06,726170.318,4693130.362,NAD83 Z10,1851,EMFWOR_BGCT1,6,2019,Received Aspen treatment (unit NWA 1037B) 150m ONLY 2019,,
EMFWOR_BGCT1-07,726171.904,4693427.585,NAD83 Z10,1803,EMFWOR_BGCT1,7,2019,"Received Aspen treatment (units NWA 1037B- 150M ONLY, and 1037) 2019",,
EMFWOR_BGCT1-08,726464.772,4693433.999,NAD83 Z10,1865,EMFWOR_BGCT1,8,2018,"CFLR prescription, Harvest first noted during visit 1 (5 Jun 2019), Commercial thin and pre-commercial thin noted in FACTS - completed date for BOTH 29 Nov 2018",L110000481,LILSTEW3 TSA UNIT 111
EMFWOR_BGCT1-09,726473.299,4693718.573,NAD83 Z10,1830,EMFWOR_BGCT1,9,2019,Received Aspen treatment (units NWA 1037 and NWA 1037C) 150m ONLY 2019,,
EMFWOR_BGCT1-10,726476.529,4694036.181,NAD83 Z10,1866,EMFWOR_BGCT1,10,2019,Received Aspen treatment (units NWA 1038B and NWM 1038B) 2019,,
EMFWOR_BGCT2-01,729770.271,4690427.323,NAD83 Z10,1872,EMFWOR_BGCT2,1,999,,,
EMFWOR_BGCT2-02,730077.155,4690434.579,NAD83 Z10,1874,EMFWOR_BGCT2,2,999,,,
EMFWOR_BGCT2-03,730373.277,4690431.627,NAD83 Z10,1927,EMFWOR_BGCT2,3,999,,,
EMFWOR_BGCT2-04,730664.448,4690436.933,NAD83 Z10,2027,EMFWOR_BGCT2,4,999,,,
EMFWOR_BGCT2-05,730973.518,4690725.8,NAD83 Z10,2114,EMFWOR_BGCT2,5,2017,"CFLR prescription, Thinning noted during visit 2 (11 Jun 2018), Commercial thin and pre-commercial thin noted in FACTS - completed date for BOTH 29 Sep 2017",L110000381,LILSTEW1 TSA UNIT 32
EMFWOR_BGCT2-06,730968.517,4691026.201,NAD83 Z10,2125,EMFWOR_BGCT2,6,2017,"CFLR prescription, Thinning noted during visit 2 (11 Jun 2018), Commercial thin and pre-commercial thin noted in FACTS - completed date for BOTH 29 Sep 2017",L110000381,LILSTEW1 TSA UNIT 32
EMFWOR_BGCT2-07,730679.009,4691333.668,NAD83 Z10,2105,EMFWOR_BGCT2,7,2017,"CFLR prescription, Harvest noted during visit 2 (11 Jun 2018), Commercial thin and pre-commercial thin noted in FACTS - completed date 13 Oct 2017, Aspen trt (unit NWM 1075) completed 2017",L110000380,LILSTEW1 TSA UNIT 31
EMFWOR_BGCT2-08,730370.66,4691332.364,NAD83 Z10,2101,EMFWOR_BGCT2,8,2017,"CFLR prescription, Harvest noted during visit 2 (11 Jun 2018), Commercial thin and pre-commercial thin noted in FACTS - completed date 13 Oct 2017",L110000380,LILSTEW1 TSA UNIT 31
EMFWOR_BGCT2-09,730377.282,4691623.794,NAD83 Z10,2100,EMFWOR_BGCT2,9,2017,"CFLR prescription, Thinning first noted during visit 1 (18 May 2018), Commercial thin and pre-commercial thin noted in FACTS - completed date 13 Oct 2017",L110000380,LILSTEW1 TSA UNIT 31
EMFWOR_BGCT2-10,730073.365,4691636.934,NAD83 Z10,2098,EMFWOR_BGCT2,10,2017,"CFLR prescription, Commercial thin and pre-commercial thin noted in FACTS - completed date 13 Oct 2017 (150m ONLY)",L110000380,LILSTEW1 TSA UNIT 31
EMFWOR_CAMC1-01,736069.042,4674243.157,NAD83 Z10,1830,EMFWOR_CAMC1,1,999,"CFLR Control, no harvest",,
EMFWOR_CAMC1-02,735778.186,4674222.586,NAD83 Z10,1821,EMFWOR_CAMC1,2,999,"CFLR Control, no harvest",,
EMFWOR_CAMC1-03,735469.138,4674221.899,NAD83 Z10,1824,EMFWOR_CAMC1,3,999,"CFLR Control, no harvest",,
EMFWOR_CAMC1-04,735167.902,4674231.828,NAD83 Z10,1842,EMFWOR_CAMC1,4,999,"CFLR Control, no harvest",,
EMFWOR_CAMC1-05,734876.05,4674236.542,NAD83 Z10,1821,EMFWOR_CAMC1,5,999,"CFLR Control, no harvest",,
EMFWOR_CAMC1-06,734574.978,4674229.736,NAD83 Z10,1771,EMFWOR_CAMC1,6,999,"CFLR Control, no harvest",,
EMFWOR_CAMC1-07,734570.426,4674526.259,NAD83 Z10,1756,EMFWOR_CAMC1,7,999,"CFLR Control, no harvest",,
EMFWOR_CAMC1-08,734576.641,4674823.443,NAD83 Z10,1730,EMFWOR_CAMC1,8,999,"CFLR Control, no harvest",,
EMFWOR_CAMC1-09,734274.756,4674834.481,NAD83 Z10,1751,EMFWOR_CAMC1,9,2012,"CFLR Control, no harvest, pt 9 and 10 burned hot in out-of-control private pile burning, 3 yrs prior to CFLRP",,
EMFWOR_CAMC1-10,733972.779,4674820.262,NAD83 Z10,1783,EMFWOR_CAMC1,10,2012,"CFLR Control, no harvest, pt 9 and 10 burned hot in out-of-control private pile burning, 3 yrs prior to CFLRP",,
EMFWOR_CAMC2-01,735775.811,4672412.963,NAD83 Z10,1898,EMFWOR_CAMC2,1,999,"CFLR Control, no harvest",,
EMFWOR_CAMC2-02,735469.231,4672427.742,NAD83 Z10,1903,EMFWOR_CAMC2,2,999,"CFLR Control, no harvest",,
EMFWOR_CAMC2-03,735170.967,4672441.009,NAD83 Z10,1912,EMFWOR_CAMC2,3,999,"CFLR Control, no harvest",,
EMFWOR_CAMC2-04,734873.574,4672434.508,NAD83 Z10,1921,EMFWOR_CAMC2,4,999,"CFLR Control, no harvest",,
EMFWOR_CAMC2-05,734569.881,4672427.186,NAD83 Z10,1928,EMFWOR_CAMC2,5,999,"CFLR Control, no harvest",,
EMFWOR_CAMC2-06,734274.916,4672441.229,NAD83 Z10,1932,EMFWOR_CAMC2,6,999,"CFLR Control, no harvest",,
EMFWOR_CAMC2-07,733973.212,4672444.069,NAD83 Z10,1936,EMFWOR_CAMC2,7,999,"CFLR Control, no harvest",,
EMFWOR_CAMC2-08,733965.892,4672742.895,NAD83 Z10,1914,EMFWOR_CAMC2,8,999,"CFLR Control, no harvest",,
EMFWOR_CAMC2-09,733974.782,4673022.493,NAD83 Z10,1868,EMFWOR_CAMC2,9,999,"CFLR Control, no harvest",,
EMFWOR_CAMC2-10,733973.916,4673325.661,NAD83 Z10,1844,EMFWOR_CAMC2,10,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-01,737569.047,4670327.232,NAD83 Z10,1822,EMFWOR_CAMC3,1,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-02,737276.471,4670321.166,NAD83 Z10,1883,EMFWOR_CAMC3,2,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-03,736979.507,4670331.662,NAD83 Z10,1897,EMFWOR_CAMC3,3,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-04,737566.965,4672138.964,NAD83 Z10,1859,EMFWOR_CAMC3,4,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-05,736963.023,4670924.042,NAD83 Z10,1891,EMFWOR_CAMC3,5,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-06,736970.004,4671230.93,NAD83 Z10,1888,EMFWOR_CAMC3,6,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-07,736970.045,4671524.733,NAD83 Z10,1886,EMFWOR_CAMC3,7,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-08,736970.932,4671835.798,NAD83 Z10,1879,EMFWOR_CAMC3,8,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-09,737280.582,4671844.668,NAD83 Z10,1870,EMFWOR_CAMC3,9,999,"CFLR Control, no harvest",,
EMFWOR_CAMC3-10,737581.584,4671832.988,NAD83 Z10,1860,EMFWOR_CAMC3,10,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-01,730971.156,4670921.201,NAD83 Z10,1928,EMFWOR_CAMC4,1,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-02,730968.938,4671227.109,NAD83 Z10,1916,EMFWOR_CAMC4,2,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-03,730971.709,4671531.354,NAD83 Z10,1908,EMFWOR_CAMC4,3,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-04,730965.97,4671834.992,NAD83 Z10,1920,EMFWOR_CAMC4,4,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-05,730970.48,4672123.304,NAD83 Z10,1911,EMFWOR_CAMC4,5,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-06,730964.229,4672420.974,NAD83 Z10,1908,EMFWOR_CAMC4,6,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-07,731271.775,4672428.524,NAD83 Z10,1896,EMFWOR_CAMC4,7,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-08,731565.985,4672423.737,NAD83 Z10,1881,EMFWOR_CAMC4,8,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-09,731879.718,4672435.524,NAD83 Z10,1852,EMFWOR_CAMC4,9,999,"CFLR Control, no harvest",,
EMFWOR_CAMC4-10,732177.145,4672428.122,NAD83 Z10,1841,EMFWOR_CAMC4,10,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-01,731279.856,4673632.953,NAD83 Z10,1871,EMFWOR_CAMC5,1,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-02,731573.106,4673933.993,NAD83 Z10,1873,EMFWOR_CAMC5,2,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-03,731872.924,4673623.049,NAD83 Z10,1859,EMFWOR_CAMC5,3,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-04,732166.289,4673625.389,NAD83 Z10,1864,EMFWOR_CAMC5,4,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-05,732468.847,4673627.159,NAD83 Z10,1877,EMFWOR_CAMC5,5,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-06,732763.775,4673637.387,NAD83 Z10,1898,EMFWOR_CAMC5,6,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-07,732773.37,4673921.465,NAD83 Z10,1918,EMFWOR_CAMC5,7,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-08,732767.48,4674224.099,NAD83 Z10,1922,EMFWOR_CAMC5,8,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-09,732763.971,4674526.277,NAD83 Z10,1923,EMFWOR_CAMC5,9,999,"CFLR Control, no harvest",,
EMFWOR_CAMC5-10,732781.765,4674832.361,NAD83 Z10,1873,EMFWOR_CAMC5,10,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-01,731551.579,4675123.117,NAD83 Z10,1924,EMFWOR_CAMC6,1,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-02,731572.319,4675421.238,NAD83 Z10,1925,EMFWOR_CAMC6,2,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-03,731568.548,4675722.564,NAD83 Z10,1892,EMFWOR_CAMC6,3,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-04,731867.469,4675723.213,NAD83 Z10,1890,EMFWOR_CAMC6,4,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-05,732177.445,4675720.761,NAD83 Z10,1869,EMFWOR_CAMC6,5,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-06,732175.925,4676028.462,NAD83 Z10,1846,EMFWOR_CAMC6,6,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-07,732169.328,4676337.321,NAD83 Z10,1835,EMFWOR_CAMC6,7,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-08,732170.086,4676622.567,NAD83 Z10,1845,EMFWOR_CAMC6,8,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-09,732168.223,4676931.215,NAD83 Z10,1800,EMFWOR_CAMC6,9,999,"CFLR Control, no harvest",,
EMFWOR_CAMC6-10,732172,4677221.515,NAD83 Z10,1771,EMFWOR_CAMC6,10,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-01,729466.555,4675729.545,NAD83 Z10,1891,EMFWOR_CAMC7,1,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-02,729465.465,4676033.883,NAD83 Z10,1872,EMFWOR_CAMC7,2,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-03,729471.195,4676343.993,NAD83 Z10,1836,EMFWOR_CAMC7,3,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-04,729775.087,4676332.759,NAD83 Z10,1858,EMFWOR_CAMC7,4,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-05,730078.168,4676325.18,NAD83 Z10,1848,EMFWOR_CAMC7,5,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-06,730378.012,4676330.705,NAD83 Z10,1859,EMFWOR_CAMC7,6,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-07,730666.743,4676325.617,NAD83 Z10,1875,EMFWOR_CAMC7,7,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-08,730674.425,4676627.073,NAD83 Z10,1896,EMFWOR_CAMC7,8,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-09,730668.537,4676929.551,NAD83 Z10,1866,EMFWOR_CAMC7,9,999,"CFLR Control, no harvest",,
EMFWOR_CAMC7-10,730673.243,4677234.561,NAD83 Z10,1779,EMFWOR_CAMC7,10,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-01,728875.535,4674828.421,NAD83 Z10,1966,EMFWOR_CAMC8,1,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-02,729179.429,4674534.291,NAD83 Z10,1973,EMFWOR_CAMC8,2,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-03,729157.957,4674228.409,NAD83 Z10,1975,EMFWOR_CAMC8,3,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-04,729475.259,4674235.598,NAD83 Z10,1963,EMFWOR_CAMC8,4,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-05,729774.791,4674226.422,NAD83 Z10,1929,EMFWOR_CAMC8,5,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-06,730070.553,4674231.88,NAD83 Z10,1901,EMFWOR_CAMC8,6,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-07,730371.101,4674263.632,NAD83 Z10,1890,EMFWOR_CAMC8,7,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-08,730382.237,4674514.579,NAD83 Z10,1885,EMFWOR_CAMC8,8,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-09,730372.14,4674845.556,NAD83 Z10,1882,EMFWOR_CAMC8,9,999,"CFLR Control, no harvest",,
EMFWOR_CAMC8-10,730370.655,4675130.132,NAD83 Z10,1884,EMFWOR_CAMC8,10,999,"CFLR Control, no harvest",,
EMFWOR_CAMC9-01,730078.524,4673031.444,NAD83 Z10,1954,EMFWOR_CAMC9,1,999,"CFLR Control, no harvest",,
EMFWOR_CAMC9-02,729762.434,4673019.644,NAD83 Z10,1972,EMFWOR_CAMC9,2,999,"CFLR Control, no harvest",,
EMFWOR_CAMC9-03,729478.683,4673046.033,NAD83 Z10,1980,EMFWOR_CAMC9,3,999,"CFLR Control, no harvest",,
EMFWOR_CAMC9-04,729175.439,4673026.275,NAD83 Z10,1988,EMFWOR_CAMC9,4,999,"CFLR Control, no harvest",,
EMFWOR_CAMC9-05,728879.02,4673033.108,NAD83 Z10,2002,EMFWOR_CAMC9,5,999,"CFLR Control, no harvest",,
EMFWOR_CAMC9-06,728570.379,4673322.086,NAD83 Z10,2000,EMFWOR_CAMC9,6,999,"CFLR Control, no harvest",,
