Visit_ID,Point_ID,Survey_Date,Visit_no,St_time,Survey_length,Wind,Temp_C,Observer,Recorder,Reviewer,Comments
EMFWOR_BGCT1-03_2015-05-27,EMFWOR_BGCT1-03,2015-05-27,1,1/0/00,270,0,11,PEJ,PEJ,MJR,
EMFWOR_BGCT1-03_2015-06-16,EMFWOR_BGCT1-03,2015-06-16,2,1/0/00,270,0,9,MJR,MJR,PEJ,
EMFWOR_BGCT1-03_2016-06-09,EMFWOR_BGCT1-03,2016-06-09,1,1/0/00,540,0,9,LNY,LNY,NSD,"HAWO CA 8:31; CA and DR 8:12, consistent DR 7:31 (50m) - confirmed HAWO"
EMFWOR_BGCT1-03_2016-06-29,EMFWOR_BGCT1-03,2016-06-29,2,1/0/00,540,0,24,JAG,JAG,LNY,
EMFWOR_BGCT1-03_2017-06-06,EMFWOR_BGCT1-03,2017-06-06,1,1/0/00,540,0,8,SMM,SMM,REK,"Evidence of historic cattle activity. Skies hazy, forest generally quiet, moderate understory, lots of down CWD."
EMFWOR_BGCT1-03_2017-06-26,EMFWOR_BGCT1-03,2017-06-26,2,1/0/00,540,1,20,REK,REK,NNR,"JUOC shrubs, PIPOs"
EMFWOR_BGCT1-03_2018-06-05,EMFWOR_BGCT1-03,2018-06-05,1,1/0/00,540,1,12,PAH,PAH,MEB,
EMFWOR_BGCT1-03_2018-07-02,EMFWOR_BGCT1-03,2018-07-02,2,1/0/00,540,0,6,MFG,MFG,MEB,"4.00 rem heard fast/cont dr SE 50-150m, then heard HAWO"
EMFWOR_BGCT1-03_2019-06-05,EMFWOR_BGCT1-03,2019-06-05,1,1/0/00,540,0,18,DCI,DCI,PAH,
EMFWOR_BGCT1-03_2019-06-17,EMFWOR_BGCT1-03,2019-06-17,2,1/0/00,540,0,10,AAC,AAC,PAH,
EMFWOR_BGCT1-03_2020-05-22,EMFWOR_BGCT1-03,2020-05-22,1,1/0/00,540,0,-1,TES,TES,MEW,"Heard quick drumming at 140deg, a good 100+m away. Started before playback, cont. during and after playback. Also had NOFL calling at ~90deg, 50+m and AMRO fly over and call"
EMFWOR_BGCT1-03_2020-06-15,EMFWOR_BGCT1-03,2020-06-15,2,1/0/00,540,1,8,JAB,JAB,MEW,"TOSO, dark out, clouds are thick, very quiet"
EMFWOR_BGCT1-03_2021-05-28,EMFWOR_BGCT1-03,2021-05-28,1,1/0/00,540,0,4,ALC,ALC,ALC,"thin whispy clouds, A/V HAWO ~10m W"
EMFWOR_BGCT1-03_2021-06-16,EMFWOR_BGCT1-03,2021-06-16,2,1/0/00,540,0,11,CAS,CAS,CAS,
EMFWOR_BGCT1-04_2015-05-27,EMFWOR_BGCT1-04,2015-05-27,1,1/0/00,270,0,11,PEJ,PEJ,MJR,NOFL clear CA ~100m W
EMFWOR_BGCT1-04_2015-06-16,EMFWOR_BGCT1-04,2015-06-16,2,1/0/00,270,0,12,MJR,MJR,PEJ,
EMFWOR_BGCT1-04_2016-06-09,EMFWOR_BGCT1-04,2016-06-09,1,1/0/00,540,0,11,LNY,LNY,NSD,
EMFWOR_BGCT1-04_2016-06-29,EMFWOR_BGCT1-04,2016-06-29,2,1/0/00,540,0,22,JAG,JAG,LNY,
EMFWOR_BGCT1-04_2017-06-06,EMFWOR_BGCT1-04,2017-06-06,1,1/0/00,540,0,10,SMM,SMM,REK,Next to open field. Solitare and tanager present. Rare/infrequent snags/cavities.
EMFWOR_BGCT1-04_2017-06-26,EMFWOR_BGCT1-04,2017-06-26,2,1/0/00,540,1,20,REK,REK,NNR,"Pretty open and ""park like"". ""Forage bugs"". Juncos"
EMFWOR_BGCT1-04_2018-06-05,EMFWOR_BGCT1-04,2018-06-05,1,1/0/00,540,1,12,PAH,PAH,MEB,
EMFWOR_BGCT1-04_2018-07-02,EMFWOR_BGCT1-04,2018-07-02,2,1/0/00,540,0,8,MFG,MFG,MEB,
EMFWOR_BGCT1-04_2019-06-05,EMFWOR_BGCT1-04,2019-06-05,1,1/0/00,540,0,16,DCI,DCI,PAH,Fast continuous drumming heard >150m NE. No visual 5:40 remaining.
EMFWOR_BGCT1-04_2019-06-17,EMFWOR_BGCT1-04,2019-06-17,2,1/0/00,540,1,11,AAC,AAC,PAH,"Treatment type: old ""H"" possibly ""T"""
EMFWOR_BGCT1-04_2020-05-22,EMFWOR_BGCT1-04,2020-05-22,1,1/0/00,540,0,0,TES,TES,MEW,"dropped clip board at pt 3, had to go back"
EMFWOR_BGCT1-04_2020-06-15,EMFWOR_BGCT1-04,2020-06-15,2,1/0/00,540,1,9,JAB,JAB,MEW,"BHGR, YRWA"
EMFWOR_BGCT1-04_2021-05-28,EMFWOR_BGCT1-04,2021-05-28,1,1/0/00,540,0,5,ALC,ALC,ALC,thin whispy clouds
EMFWOR_BGCT1-04_2021-06-16,EMFWOR_BGCT1-04,2021-06-16,2,1/0/00,540,0,9,CAS,CAS,CAS,"few downed logs, looks like old or blowdown"
EMFWOR_BGCT1-05_2015-05-27,EMFWOR_BGCT1-05,2015-05-27,1,1/0/00,270,0,11,PEJ,PEJ,MJR,"PR HAWO CA, sweet-talk, FOR 15-50m 5 sec before start and thru entire survey"
EMFWOR_BGCT1-05_2015-06-16,EMFWOR_BGCT1-05,2015-06-16,2,1/0/00,270,0,13,MJR,MJR,PEJ,F WISA FOR 10m to N w/ 4:15 rem
EMFWOR_BGCT1-05_2016-06-09,EMFWOR_BGCT1-05,2016-06-09,1,1/0/00,540,1,13,LNY,LNY,NSD,WISA CA 8:17
EMFWOR_BGCT1-05_2016-06-29,EMFWOR_BGCT1-05,2016-06-29,2,1/0/00,540,0,20,JAG,JAG,LNY,
EMFWOR_BGCT1-05_2017-06-06,EMFWOR_BGCT1-05,2017-06-06,1,1/0/00,540,0,9,SMM,SMM,REK,"Sky beginning to clear, still hazy. Quiet area of the forest, no birds. Old cavity, possible WHWO"
EMFWOR_BGCT1-05_2017-06-26,EMFWOR_BGCT1-05,2017-06-26,2,1/0/00,540,1,21,REK,REK,NNR,Small clearing-ABCO/PIPO. Loud flickers on way. Nuthatches! Flickers!
EMFWOR_BGCT1-05_2018-06-05,EMFWOR_BGCT1-05,2018-06-05,1,1/0/00,540,0,12,PAH,PAH,MEB,
EMFWOR_BGCT1-05_2018-07-02,EMFWOR_BGCT1-05,2018-07-02,2,1/0/00,540,0,10,MFG,MFG,MEB,
EMFWOR_BGCT1-05_2019-06-05,EMFWOR_BGCT1-05,2019-06-05,1,1/0/00,540,0,14,DCI,DCI,PAH,Pik'ing heard approaching pt ~150m NE foraging heard during playback. No visual.
EMFWOR_BGCT1-05_2019-06-17,EMFWOR_BGCT1-05,2019-06-17,2,1/0/00,540,0,13,AAC,AAC,PAH,UNKN knocking S; 50-150m.
EMFWOR_BGCT1-05_2020-05-22,EMFWOR_BGCT1-05,2020-05-22,1,1/0/00,540,1,1,TES,TES,MEW,
EMFWOR_BGCT1-05_2020-06-15,EMFWOR_BGCT1-05,2020-06-15,2,1/0/00,540,0,9,JAB,JAB,MEW,"BRCR, RBNU, PIWO foraging evidence GCKI"
EMFWOR_BGCT1-05_2021-05-28,EMFWOR_BGCT1-05,2021-05-28,1,1/0/00,540,0,6,ALC,ALC,ALC,"A/V HAWO ~5m W then flyto other HAWO CA, heard SS, NOFL. Terrain has small burn piles and sites where sm diam trees were cut - size of hand palm, still a lot of slash"
EMFWOR_BGCT1-05_2021-06-16,EMFWOR_BGCT1-05,2021-06-16,2,1/0/00,540,0,8,CAS,CAS,CAS,HAWO <50m
EMFWOR_BGCT1-06_2015-05-27,EMFWOR_BGCT1-06,2015-05-27,1,1/0/00,270,0,10,PEJ,PEJ,MJR,HAWO CA~130m SSE w/2:04 rem
EMFWOR_BGCT1-06_2015-06-16,EMFWOR_BGCT1-06,2015-06-16,2,1/0/00,270,0,13,MJR,MJR,PEJ,HAWO CA to E ~50m w/ 2:42 rem
EMFWOR_BGCT1-06_2016-06-09,EMFWOR_BGCT1-06,2016-06-09,1,1/0/00,540,0,11,LNY,LNY,NSD,Consistent DR 50-150m 7:03 - HAWO (unconfirmed)
EMFWOR_BGCT1-06_2016-06-29,EMFWOR_BGCT1-06,2016-06-29,2,1/0/00,540,0,18,JAG,JAG,LNY,Can hear same NOFL from pt 7
EMFWOR_BGCT1-06_2017-06-06,EMFWOR_BGCT1-06,2017-06-06,1,1/0/00,540,0,10,SMM,SMM,REK,Very steep/thick. Difficult to see any more than 2-3m.
EMFWOR_BGCT1-06_2017-06-26,EMFWOR_BGCT1-06,2017-06-26,2,1/0/00,540,0,20,REK,REK,NNR,Very dense ABCO. Bugs that sound like WO foraging.
EMFWOR_BGCT1-06_2018-06-05,EMFWOR_BGCT1-06,2018-06-05,1,1/0/00,540,0,9,PAH,PAH,MEB,
EMFWOR_BGCT1-06_2018-07-02,EMFWOR_BGCT1-06,2018-07-02,2,1/0/00,540,0,12,MFG,MFG,MEB,lost thermometer
EMFWOR_BGCT1-06_2019-06-05,EMFWOR_BGCT1-06,2019-06-05,1,1/0/00,540,0,13,DCI,DCI,PAH,
EMFWOR_BGCT1-06_2019-06-17,EMFWOR_BGCT1-06,2019-06-17,2,1/0/00,540,0,12,AAC,AAC,PAH,
EMFWOR_BGCT1-06_2020-05-22,EMFWOR_BGCT1-06,2020-05-22,1,1/0/00,540,0,2,TES,TES,MEW,"Trees thick to the S and SE of pt6. Tree thinning to the N, lot of mahogany. Going between 6&7 take contour of hill and not straight line. Thick brush and PUD (pointless up and down)."
EMFWOR_BGCT1-06_2020-06-15,EMFWOR_BGCT1-06,2020-06-15,2,1/0/00,540,0,9,JAB,JAB,MEW,"HAWO call @ 8:12 and 1:46, 310deg, 30m, OSFL"
EMFWOR_BGCT1-06_2021-05-28,EMFWOR_BGCT1-06,2021-05-28,1,1/0/00,540,0,6,ALC,ALC,ALC,river background noise
EMFWOR_BGCT1-06_2021-06-16,EMFWOR_BGCT1-06,2021-06-16,2,1/0/00,540,0,7,CAS,CAS,CAS,
EMFWOR_BGCT1-07_2015-05-27,EMFWOR_BGCT1-07,2015-05-27,1,1/0/00,270,0,8,PEJ,PEJ,MJR,
EMFWOR_BGCT1-07_2015-06-16,EMFWOR_BGCT1-07,2015-06-16,2,1/0/00,270,0,14,MJR,MJR,PEJ,
EMFWOR_BGCT1-07_2016-06-09,EMFWOR_BGCT1-07,2016-06-09,1,1/0/00,540,1,13,LNY,LNY,NSD,HAWO CA (visual confirm) 2:01
EMFWOR_BGCT1-07_2016-06-29,EMFWOR_BGCT1-07,2016-06-29,2,1/0/00,540,0,18,JAG,JAG,LNY,NOFL CA >150m S.
EMFWOR_BGCT1-07_2017-06-06,EMFWOR_BGCT1-07,2017-06-06,1,1/0/00,540,1,10,SMM,SMM,REK,Cavity visible downslope from PC Stn. Stream quite loud
EMFWOR_BGCT1-07_2017-06-26,EMFWOR_BGCT1-07,2017-06-26,2,1/0/00,540,0,17,REK,REK,NNR,"Stream N of pt 7, steep slope W of pt. JUOC, PIPO, ABCO. Chickadees."
EMFWOR_BGCT1-07_2018-06-05,EMFWOR_BGCT1-07,2018-06-05,1,1/0/00,540,0,8,PAH,PAH,MEB,
EMFWOR_BGCT1-07_2018-07-02,EMFWOR_BGCT1-07,2018-07-02,2,1/0/00,540,1,12,MFG,MFG,MEB,4.45 HAWO calls 50-150m NW
EMFWOR_BGCT1-07_2019-06-05,EMFWOR_BGCT1-07,2019-06-05,1,1/0/00,540,1,9,DCI,DCI,PAH,
EMFWOR_BGCT1-07_2019-06-17,EMFWOR_BGCT1-07,2019-06-17,2,1/0/00,540,2,14,AAC,AAC,PAH,
EMFWOR_BGCT1-07_2020-05-22,EMFWOR_BGCT1-07,2020-05-22,1,1/0/00,540,1,2,TES,TES,MEW,
EMFWOR_BGCT1-07_2020-06-15,EMFWOR_BGCT1-07,2020-06-15,2,1/0/00,540,1,8,JAB,JAB,MEW,"WETA, AMRO, DEJU, CAVI -can hear creek babbling"
EMFWOR_BGCT1-07_2021-05-28,EMFWOR_BGCT1-07,2021-05-28,1,1/0/00,540,0,6,ALC,ALC,ALC,river background noise
EMFWOR_BGCT1-07_2021-06-16,EMFWOR_BGCT1-07,2021-06-16,2,1/0/00,540,0,7,CAS,CAS,CAS,very small burnplots
EMFWOR_BGCT1-08_2015-05-27,EMFWOR_BGCT1-08,2015-05-27,1,1/0/00,270,0,7,PEJ,PEJ,MJR,
EMFWOR_BGCT1-08_2015-06-16,EMFWOR_BGCT1-08,2015-06-16,2,1/0/00,270,0,15.5,MJR,MJR,PEJ,"M WHWO flew in from E ~10m from pt. ct. tree w/ 1:57 rem, PE on limb during survey then started FOR on nearby snag; No F found."
EMFWOR_BGCT1-08_2016-06-09,EMFWOR_BGCT1-08,2016-06-09,1,1/0/00,540,0,16,LNY,LNY,NSD,
EMFWOR_BGCT1-08_2016-06-29,EMFWOR_BGCT1-08,2016-06-29,2,1/0/00,540,0,18,JAG,JAG,LNY,RBSA DR >150m S.  Consistent DR pattern >150m NNE
EMFWOR_BGCT1-08_2017-06-06,EMFWOR_BGCT1-08,2017-06-06,1,1/0/00,540,0,11,SMM,SMM,REK,"Next to open field, understory moderate. One loud bird calling, cannot ID."
EMFWOR_BGCT1-08_2017-06-26,EMFWOR_BGCT1-08,2017-06-26,2,1/0/00,540,0,16,REK,REK,NNR,Drumming W of pt 8 before survey-NNR investiigating (same HAWO ~4 min left) HAWO male foraging  6:30 remain nearby snag. Can hear logging equipment SW > 1km (far distance)
EMFWOR_BGCT1-08_2018-06-05,EMFWOR_BGCT1-08,2018-06-05,1,1/0/00,540,0,9,PAH,PAH,MEB,
EMFWOR_BGCT1-08_2018-07-02,EMFWOR_BGCT1-08,2018-07-02,2,1/0/00,540,0,13,MFG,MFG,MEB,2.56 foraging heard 50-150m NE
EMFWOR_BGCT1-08_2019-06-05,EMFWOR_BGCT1-08,2019-06-05,1,1/0/00,540,0,9,DCI,DCI,PAH,
EMFWOR_BGCT1-08_2019-06-17,EMFWOR_BGCT1-08,2019-06-17,2,1/0/00,540,2,16,AAC,AAC,PAH,
EMFWOR_BGCT1-08_2020-05-22,EMFWOR_BGCT1-08,2020-05-22,1,1/0/00,540,1,4,TES,TES,MEW,"Tree point is a stump. (recorded a bird call, ? ID)"
EMFWOR_BGCT1-08_2020-06-15,EMFWOR_BGCT1-08,2020-06-15,2,1/0/00,540,0,7,JAB,JAB,MEW,"HAWO call @ 2:12, East, ~50m"
EMFWOR_BGCT1-08_2021-05-28,EMFWOR_BGCT1-08,2021-05-28,1,1/0/00,540,0,7,ALC,ALC,ALC,
EMFWOR_BGCT1-08_2021-06-16,EMFWOR_BGCT1-08,2021-06-16,2,1/0/00,540,0,7,CAS,CAS,CAS,
EMFWOR_BGCT1-09_2015-05-27,EMFWOR_BGCT1-09,2015-05-27,1,1/0/00,270,0,6,PEJ,PEJ,MJR,
EMFWOR_BGCT1-09_2015-06-16,EMFWOR_BGCT1-09,2015-06-16,2,1/0/00,270,0,16,MJR,MJR,PEJ,"WHWO call heard to SE of pt. >150m away, only CA one time- no visual."
EMFWOR_BGCT1-09_2016-06-09,EMFWOR_BGCT1-09,2016-06-09,1,1/0/00,540,0,16,LNY,LNY,NSD,
EMFWOR_BGCT1-09_2016-06-29,EMFWOR_BGCT1-09,2016-06-29,2,1/0/00,540,0,14,JAG,JAG,LNY,
EMFWOR_BGCT1-09_2017-06-06,EMFWOR_BGCT1-09,2017-06-06,1,1/0/00,540,1,13,SMM,SMM,REK,"Wet marsh, stream flowing nearby. No birds heard on way in . Lots of old cavities on nearby snags."
EMFWOR_BGCT1-09_2017-06-26,EMFWOR_BGCT1-09,2017-06-26,2,1/0/00,540,0,12,REK,REK,NNR,"Stream rushing. Call of NOFL, nuthatch. Songbirds"
EMFWOR_BGCT1-09_2018-06-05,EMFWOR_BGCT1-09,2018-06-05,1,1/0/00,540,0,5,PAH,PAH,MEB,"audio feeding ~50-100m to S, could not ID"
EMFWOR_BGCT1-09_2018-07-02,EMFWOR_BGCT1-09,2018-07-02,2,1/0/00,540,1,14,MFG,MFG,MEB,
EMFWOR_BGCT1-09_2019-06-05,EMFWOR_BGCT1-09,2019-06-05,1,1/0/00,540,0,8,DCI,DCI,PAH,
EMFWOR_BGCT1-09_2019-06-17,EMFWOR_BGCT1-09,2019-06-17,2,1/0/00,540,1,15,AAC,AAC,PAH,"Treatment type: old ""T"" (not sure)"
EMFWOR_BGCT1-09_2020-05-22,EMFWOR_BGCT1-09,2020-05-22,1,1/0/00,540,1,3,TES,TES,MEW,"Hail starting. Had a woodpecker fly in 60-70% sure WHWO, saw white, flew in then away quick and quiet, went to the S. Came in from NW. Tried to follow but lost it."
EMFWOR_BGCT1-09_2020-06-15,EMFWOR_BGCT1-09,2020-06-15,2,1/0/00,540,0,8,JAB,JAB,MEW,"MOCH, HOWR"
EMFWOR_BGCT1-09_2021-05-28,EMFWOR_BGCT1-09,2021-05-28,1,1/0/00,540,0,7,ALC,ALC,ALC,"stream in background, snag ~10m N w/good looking cav"
EMFWOR_BGCT1-09_2021-06-16,EMFWOR_BGCT1-09,2021-06-16,2,1/0/00,540,0,4,CAS,CAS,CAS,no clear harvest/thinning w/in 50m
EMFWOR_BGCT1-10_2015-05-27,EMFWOR_BGCT1-10,2015-05-27,1,1/0/00,270,0,5.5,PEJ,PEJ,MJR,Loveless Creek ~35m W of pt is LOUD after recent rains
EMFWOR_BGCT1-10_2015-06-16,EMFWOR_BGCT1-10,2015-06-16,2,1/0/00,270,0,17,MJR,MJR,PEJ,
EMFWOR_BGCT1-10_2016-06-09,EMFWOR_BGCT1-10,2016-06-09,1,1/0/00,540,2,15,LNY,LNY,NSD,Loud creek nearby
EMFWOR_BGCT1-10_2016-06-29,EMFWOR_BGCT1-10,2016-06-29,2,1/0/00,540,1,16,JAG,JAG,LNY,Noisy stream w/in 50m.
EMFWOR_BGCT1-10_2017-06-06,EMFWOR_BGCT1-10,2017-06-06,1,1/0/00,540,1,15,SMM,SMM,REK,"Creek still loud, can hear juncos and finches. No cavities visible."
EMFWOR_BGCT1-10_2017-06-26,EMFWOR_BGCT1-10,2017-06-26,2,1/0/00,540,0,11,REK,REK,NNR,Loud stream (75m rushing) POTR along stream. Robin fight
EMFWOR_BGCT1-10_2018-06-05,EMFWOR_BGCT1-10,2018-06-05,1,1/0/00,540,0,3,PAH,PAH,MEB,"8.34 fast, cont drum from NNE~>150m, likely HAWO"
EMFWOR_BGCT1-10_2018-07-02,EMFWOR_BGCT1-10,2018-07-02,2,1/0/00,540,1,15,MFG,MFG,MEB,
EMFWOR_BGCT1-10_2019-06-05,EMFWOR_BGCT1-10,2019-06-05,1,1/0/00,540,1,5,DCI,DCI,PAH,
EMFWOR_BGCT1-10_2019-06-17,EMFWOR_BGCT1-10,2019-06-17,2,1/0/00,540,3,16,AAC,AAC,PAH,
EMFWOR_BGCT1-10_2020-05-22,EMFWOR_BGCT1-10,2020-05-22,1,1/0/00,540,2,2,TES,TES,MEW,"sorry close to 1100, finished at 1105. Heard a grouse to the N."
EMFWOR_BGCT1-10_2020-06-15,EMFWOR_BGCT1-10,2020-06-15,2,1/0/00,540,1,7,JAB,JAB,MEW,"BHGR, SOGR - looks like rain!"
EMFWOR_BGCT1-10_2021-05-28,EMFWOR_BGCT1-10,2021-05-28,1,1/0/00,540,0,8,ALC,ALC,ALC,"V/A of HAWO 50-100m E then at pt stn after time, river was big background noise"
EMFWOR_BGCT1-10_2021-06-16,EMFWOR_BGCT1-10,2021-06-16,2,1/0/00,540,0,3,CAS,CAS,CAS,
EMFWOR_BGCT2-01_2015-06-01,EMFWOR_BGCT2-01,2015-06-01,1,1/0/00,270,0,8,PEJ,PEJ,MJR,HAWO CA ~5 sec after survey ended. N Fork Crooked Creek very loud.
EMFWOR_BGCT2-01_2015-06-22,EMFWOR_BGCT2-01,2015-06-22,2,1/0/00,270,0,14,MJR,MJR,PEJ,"Creek a little noisy, turned up volume a bit to compensate."
EMFWOR_BGCT2-01_2016-05-18,EMFWOR_BGCT2-01,2016-05-18,1,1/0/00,540,1,17,NSD,NSD,LNY,Stream noise.
EMFWOR_BGCT2-01_2016-06-10,EMFWOR_BGCT2-01,2016-06-10,2,1/0/00,540,0,9,JAG,JAG,WTR,Loud stream nearby
EMFWOR_BGCT2-01_2017-06-02,EMFWOR_BGCT2-01,2017-06-02,1,1/0/00,540,0,1,TCH,TCH,JRK,"Loud river noise. Watch very high, had to call at alternate station (729836 E, 4690484 N)"
EMFWOR_BGCT2-01_2017-06-28,EMFWOR_BGCT2-01,2017-06-28,2,1/0/00,540,2,18,REK,REK,SMM,"Location of pt 1 was changed during first visit but no GPS/transect establishment form notes-unable to find flagging- took pt count 90m from pt 1 on N side of creek. Chickadees, flicker, HAWO call and drum 3:14"
EMFWOR_BGCT2-01_2018-05-18,EMFWOR_BGCT2-01,2018-05-18,1,1/0/00,540,0,1,TSD,TSD,MFG,
EMFWOR_BGCT2-01_2018-06-11,EMFWOR_BGCT2-01,2018-06-11,2,1/0/00,540,0,7,MEB,MEB,TSD,very forested
EMFWOR_BGCT2-01_2019-06-04,EMFWOR_BGCT2-01,2019-06-04,1,1/0/00,540,0,999,DCI,DCI,JRS,
EMFWOR_BGCT2-01_2019-06-12,EMFWOR_BGCT2-01,2019-06-12,2,1/0/00,540,0,8,JRS,JRS,AAC,
EMFWOR_BGCT2-01_2020-05-22,EMFWOR_BGCT2-01,2020-05-22,1,1/0/00,540,0,1,JAB,JAB,SMS,"very steep slope, thick trees, close to creek. Stellar's Jay, brown creeper <50m"
EMFWOR_BGCT2-01_2020-06-15,EMFWOR_BGCT2-01,2020-06-15,2,1/0/00,540,1,9,TES,TES,MEW,"DEJU, AMRO"
EMFWOR_BGCT2-01_2021-05-13,EMFWOR_BGCT2-01,2021-05-13,1,1/0/00,540,0,11,JGD,JGD,JGD,Creek noise effects ability to detect; NOFL 15m
EMFWOR_BGCT2-01_2021-06-09,EMFWOR_BGCT2-01,2021-06-09,2,1/0/00,540,0,8,CAS,CAS,CAS,Scary
EMFWOR_BGCT2-02_2015-06-01,EMFWOR_BGCT2-02,2015-06-01,1,1/0/00,270,0,8.5,PEJ,PEJ,MJR,
EMFWOR_BGCT2-02_2015-06-22,EMFWOR_BGCT2-02,2015-06-22,2,1/0/00,270,0,10,MJR,MJR,PEJ,HAWO DR to W w/ 1:08 rem until end of survey.
EMFWOR_BGCT2-02_2016-05-18,EMFWOR_BGCT2-02,2016-05-18,1,1/0/00,540,1,15,NSD,NSD,LNY,
EMFWOR_BGCT2-02_2016-06-10,EMFWOR_BGCT2-02,2016-06-10,2,1/0/00,540,0,10,JAG,JAG,WTR,
EMFWOR_BGCT2-02_2017-06-02,EMFWOR_BGCT2-02,2017-06-02,1,1/0/00,540,0,1,TCH,TCH,JRK,Slightly less creek noise
